doc_id,mode,generated_summary
doc_82805800,B-TEXT,"The academic text introduces ""Agent Workflow Memory"" (AWM), a method designed to enhance language model-based agents' ability to handle complex, long-horizon tasks by learning and reusing workflows. AWM mimics human problem-solving by abstracting common task routines from past experiences to guide future actions. This approach is applicable in both offline and online scenarios, allowing agents to induce workflows from training examples or in real-time from test queries.

Experiments conducted on two web navigation benchmarks, Mind2Web and WebArena, demonstrate AWM's effectiveness. AWM significantly improves task success rates, achieving a 24.6% and 51.1% relative increase on Mind2Web and WebArena, respectively. It also reduces the number of steps required to complete tasks on WebArena. The method shows robust generalization across tasks, websites, and domains, outperforming baseline methods by 8.9 to 14.0 absolute points as the train-test distribution gap widens.

AWM's success is attributed to its ability to induce reusable workflows that capture essential skills needed for complex tasks. The method involves a language model (LM) backbone and a text-based memory system that documents built-in actions. The agent operates by observing the environment, executing actions, and updating its state until a task is completed or a stopping condition is met. Each completed task forms an experience that contributes to the workflow memory, enhancing the agent's adaptability and efficiency in solving future tasks."
doc_7f962bd3,B-TEXT,"The academic text introduces a novel position encoding method called Contextual Position Encoding (CoPE) for large language models (LLMs). Traditional position encoding methods, which use token counts to determine position, struggle with higher levels of abstraction like attending to sentences rather than individual tokens. CoPE addresses this by allowing positions to be conditioned on context, incrementing position only on certain tokens determined by the model. This enables more flexible position addressing, such as attending to specific words, nouns, or sentences. CoPE outperforms existing methods in tasks like selective copy, counting, and Flip-Flop tasks, and improves perplexity in language modeling and coding tasks. The paper highlights the limitations of current position encoding methods, which are not context-aware and rely on tokens as units of measurement, making them unsuitable for general position addressing. CoPE integrates context and position addressing, allowing for simultaneous measurement of various levels of position abstraction, enhancing the model's ability to process sequences effectively."
doc_a5d53741,B-TEXT,"The paper ""CRAMMING: TRAINING A LANGUAGE MODEL ON A SINGLE GPU IN ONE DAY"" by Jonas Geiping and Tom Goldstein explores the feasibility of training a transformer-based language model from scratch using a single consumer GPU within 24 hours. The study challenges the prevailing trend of scaling up language models, which often requires significant computational resources, making it inaccessible to many researchers. Instead, the authors investigate the potential of achieving competitive performance with limited computational resources.

Key constraints include:
- Training a transformer-based language model from scratch without using existing pretrained models.
- Utilizing any raw text for training while excluding downstream data.
- Exempting data downloading and preprocessing from the compute budget.
- Conducting training on a single GPU (rtx2080ti/rtxa4000/rtxa6000) for 24 hours.
- Evaluating downstream performance on the GLUE benchmark.

The authors find that scaling laws, which predict performance based on model size and data, still apply in this constrained setting. Larger models learn more efficiently but process less data per unit of compute. The study identifies several architectural and training modifications that enhance performance without increasing model size, such as disabling QKV biases and using scaled sinusoidal embeddings.

Data processing strategies, such as sorting and filtering tokenized sequences, are explored to improve training efficiency. The study concludes that while cramming models into limited compute settings is challenging, it is possible to achieve respectable performance, particularly on larger datasets. The research provides a baseline for further exploration of efficient language model training and highlights the potential for academic investigations into pretraining tasks and model generalization."
doc_4f60f16e,B-TEXT,"The paper ""Do Language Embeddings Capture Scales?"" investigates whether pretrained language models (LMs) like BERT and ELMo can predict scalar magnitudes of objects, a task termed Scalar Probing. This capability is a prerequisite for Common Sense Reasoning (CSR), which involves understanding and reasoning about the world. The study finds that while LMs capture some scalar information, they fall short of robust common-sense reasoning. Two key factors influencing performance are contextual information in pre-training and numeracy. The authors propose a simple method of canonicalizing numbers using scientific notation, which significantly impacts results. They demonstrate that contextual models like BERT and ELMo outperform non-contextual models like Word2Vec in scalar probing tasks, even though the task itself is non-contextual. The study also shows that domain-specific training improves scalar prediction, emphasizing the importance of context. Additionally, the paper highlights that manipulating numeric representations, as done with NumBERT (a variant of BERT using scientific notation), can improve performance on scalar prediction tasks. Despite these advancements, the paper concludes that significant gaps remain before LMs can fully support CSR."
doc_2ffe3007,B-TEXT,"The academic text argues that while large language models (LLMs) cannot independently perform planning or self-verification tasks, they can significantly aid in these processes when integrated into LLM-Modulo Frameworks. These frameworks combine the strengths of LLMs with external model-based verifiers, allowing for a more effective interaction and reasoning capability. The authors emphasize that LLMs should not be seen merely as translators between formats but as valuable sources of approximate knowledge that can generate candidate plans. The LLM-Modulo Framework proposes a generate-test-critique loop where LLMs generate potential solutions, and external critics evaluate these solutions for correctness and style. This approach aims to overcome the limitations of LLMs in autonomous planning by leveraging their ability to generate diverse ideas and using external systems to ensure the soundness and validity of the plans. The paper also critiques the over-optimism about LLMs' planning abilities and the underestimation of their potential roles in planning tasks. Through case studies, the authors demonstrate the framework's effectiveness in improving planning performance, suggesting that LLMs, when used in conjunction with external critics, can enhance planning tasks significantly."
doc_d96b139b,B-TEXT,"The academic text ""Matryoshka Quantization"" introduces a novel multi-scale quantization technique called Matryoshka Quantization (MatQuant). This technique leverages the inherent nested structure of integer data types to optimize model weight quantization across multiple precisions (int8, int4, and int2) within a single model. The goal is to reduce communication and inference costs while maintaining model quality, especially at low precisions like int2, which traditionally degrade model performance.

MatQuant allows for the training and maintenance of a single model that can be served at different precision levels, offering flexibility in deployment. It is compatible with learning-based quantization techniques such as Quantization Aware Training (QAT) and OmniQuant. The technique improves the accuracy of int2 precision models by up to 7% compared to standard methods and supports bit-width interpolation and layer-wise mix-and-match strategies for flexible accuracy-cost trade-offs.

The paper also explores the potential of MatQuant in various experimental setups, demonstrating its efficacy on large language models like Gemma-2 and Mistral. The authors highlight the benefits of MatQuant in producing models with comparable accuracy to baselines for int8 and int4, while significantly enhancing int2 performance. Additionally, the paper discusses the potential for extending MatQuant to floating-point representations and its implications for efficient AI deployment."
doc_d0fe9934,B-TEXT,"The academic text introduces the Parameter Efficient Expert Retrieval (PEER) architecture, a novel approach to improve transformer models' efficiency by leveraging a large number of small experts. Traditional feedforward (FFW) layers in transformers increase computational costs linearly with hidden layer width. Sparse Mixture-of-Experts (MoE) architectures address this by decoupling model size from computational cost. However, existing MoE models are limited by computational challenges. PEER uses product key techniques for efficient retrieval from over a million tiny experts, outperforming dense FFWs and coarse-grained MoEs in performance-compute trade-offs. The paper demonstrates that PEER layers enable efficient scaling of transformer models while maintaining computational efficiency, showing superior results in language modeling tasks. The study also explores the impact of various design choices, such as the number of experts and active parameters, through comprehensive ablation studies."
doc_31372ae6,B-TEXT,"The academic text ""What Matters for Model Merging at Scale?"" investigates the process of combining multiple expert models into a single, more capable model, focusing on large-scale applications. The study evaluates the effects of scaling model sizes, base model quality, and the number of expert models on the performance of the merged model. It uses four merging methods—Averaging, Task Arithmetic, Dare-TIES, and TIES-Merging—across models ranging from 1 billion to 64 billion parameters, merging up to 8 expert models. Key findings include:

1. Merging is more effective with strong base models, particularly those with good zero-shot performance.
2. Larger models facilitate easier merging.
3. Merging enhances generalization capabilities, often outperforming multitask-trained models.
4. Larger models can merge more expert models effectively.
5. Different merging methods perform similarly at larger scales.

The study highlights the potential of model merging for creating highly generalizable language models and provides insights into the scalability and effectiveness of merging methods."
doc_82703374,B-TEXT,"The paper introduces mSLAM, a multilingual Speech and Language Model designed to learn cross-lingual and cross-modal representations of speech and text. It builds on SLAM by incorporating a Connectionist Temporal Classification (CTC) loss to address issues of interference and capacity dilution observed in previous models. mSLAM is pre-trained on a large dataset comprising speech from 51 languages and text from 101 languages, utilizing w2v-BERT for speech and SpanBERT for text, alongside TLM and CTC losses for paired speech-text data. The model demonstrates improved performance over speech-only baselines on tasks such as speech translation, intent classification, and language identification, while maintaining competitive performance on multilingual ASR. It also shows the ability to perform zero-shot text translation, indicating effective cross-modal representation alignment. The study highlights the potential of mSLAM to leverage both speech and text data for enhanced multilingual and multimodal transfer learning, while also identifying challenges and opportunities for future research in large-scale multimodal pre-training."
doc_7f61e8bb,B-TEXT,"The paper ""Shortened LLaMA: A Simple Depth Pruning for Large Language Models"" by Bo-Kyeong Kim et al. explores a depth pruning technique for large language models (LLMs) to enhance inference speed, particularly under hardware constraints that limit batch sizes. Unlike width pruning, which reduces the size of weight matrices while maintaining the number of layers, depth pruning removes entire layers or blocks, preserving the size of the remaining weights. The authors demonstrate that depth pruning can compete with recent width pruning methods in zero-shot task performance and significantly improve inference speeds, especially in memory-constrained environments where width pruning is less effective.

The authors propose a block pruning method, selecting Taylor+ and PPL metrics to evaluate the importance of each Transformer block. They find that removing redundant blocks results in minimal performance degradation, while preserving the first and last few blocks is crucial to maintaining model performance. The study also examines the effects of fine-grained pruning, such as removing individual MHA and FFN modules, and finds that block-level pruning generally yields better results for models smaller than 5B parameters.

The paper includes an analysis of one-shot versus iterative pruning, concluding that while iterative pruning may offer slight performance improvements, one-shot pruning with subsequent retraining using LoRA is more efficient. The authors also explore the impact of calibration data volume, noting that their Taylor+ method experiences a drop in accuracy with larger calibration sets. Overall, the pruned models perform comparably to the original models, except in tasks requiring factual question responses and long content generation."
